Title,URL,Address,Compensation,Employment Type,Description
Architect/ Project Manger/ Estimator,https://newyork.craigslist.org/mnh/egr/d/new-york-city-architect-project-manger/6863663652.html,New York,"10% TO 12% OF TOTAL CONSTRUCTION CONTRACT , CONTRACTS FROM 200K TO 2M",contract,"
        
Ultimate Restaurant Group . is a business development and management company that provides much needed services specializing in locating commercial properties in high-traffic areas, designing and developing franchise concepts, retail stores as well as fast, casual and full-service restaurants. Visit us at Ultimaterg.com 

We are lookin for a all in one person who can draft architectural plans, estimate cost of construction job and act as project manger  

*Must have 3-5 Years Construction Experience.
*Commercial construction supervision.
*Ability to explain complex issues to others in a manner easily understood by laborers and subcontractors.
*Ability to estimate cost of construction 
*Knowledge of home building and construction systems/processes, building codes, trades, practices, & procedures.
*Must be able to read blue prints to maintain quality control and inspect all aspects of construction from breaking ground to occupancy.
*Leads, manages subcontractors and suppliers for each project.
*Strong written and verbal communication skills.
*Supervisory experience leading teams of at least 3 people.
*Must have references
*Be prompt to job locations
*Knowledge and use of wide range of hand and power tools.
*Employee needs to use hands, may need to climb ladders or balance, frequently required to walk, kneel or sit, reach with hands and arms.
*Communicate with customers, other employees, other superintendents, other contractors, and clients.
*Accurately measure, sensitive to details, have excellent interpersonal skills, problem solving abilities, and proven leadership skills.
*The ability to handle multiple projects / tasks.

    "
Jr Architect  /  Draftsperson,https://newyork.craigslist.org/que/egr/d/college-point-jr-architect-draftsperson/6862716693.html,"129-20 20th ave College Point, NY",To be determined,full-time,"
        
**** WE ARE NOT SEEKING ANY FREELANCE SERVICES. PLEASE DO NOT CONTACT US WITH ANY FREELANCE INQUIRIES. WE ARE SEEKING FULL-TIME STAFF ONLY****

We are seeking a Jr. Architect- Draftsperson to become part of our team! You will be tasked with a broad spectrum of projects, working through all stages from preliminary design to construction documents and approval with the Department of Buildings.

Qualifications/ Experience in the following:

Strong skill set in AutoCAD Architectural Desktop
Communication skills
Business Writing
Construction documents
Previous experience with new building and alteration filings (both residential and/or commercial)
Familiarity with NYC zoning
Familiarity with DOB filing procedures and construction administration
Deadline and detail oriented
Strong work ethic
Other requirements:

A personal vehicle for site visits (locally in Queens and The Bronx)



For over twenty years, Gino O. Longo, R.A., A.I.A., has been designing unique and innovative structures. Each project is handled with individualized perspective and integrity. Gino O. Longo is established as a leader in the industry. Ingenuity and an eye for solutions make this firm the obvious choice for your architectural services.

Gino O. Longo, R.A., A.I.A., is committed to providing each client with the best architectural services and design. We approach every project with a focus on aesthetics, functionality, cost, and structural engineering. Our firm specializes in creating designs that are beautiful yet functional. 

Please see our project gallery at    ginolongo.com      along with our social media pages which are located on the right side of our home page.    "
CAD Operator / Drafter,https://newyork.craigslist.org/que/egr/d/long-island-city-cad-operator-drafter/6862803570.html,Long Island City,Salary based on experience,full-time,"
        
Structural engineering firm in Long Island City, Queens has an immediate opening for a full-time AutoCAD draftsperson.

This is NOT a telecommuting position. You must be able to come to work at our office in LIC and you must be authorized to work in the U.S. Please do not apply if you are not within commuting distance. 

Requirements:
• 4+ years in AutoCAD experience
• Must have working experience in engineering/architectural drafting
• Must be able to generate plans and sections

Duties and Responsibilities:
• Create detailed, accurate construction documents for structural engineering projects (commercial and residential)
• Work with principal engineer to make corrections to the drawings under tight deadlines

Excellent communication skills are a must.

To apply, please send resume in PDF format and email your salary requirements.
    "
Corporate Facilities Manager,https://newyork.craigslist.org/mnh/egr/d/new-york-city-corporate-facilities/6862827373.html,"New York, NY",BOE,full-time,"
        

      
      



    


Corner Table Restaurants is looking for Facilities Manager to join our team. 
 

- Manage preventive maintenance of facility equipment in all restaurant locations across New York, Washington DC, and Chicago (opening in the spring). 
- Oversee construction level projects within operational restaurants, managing scope, schedule, budget, and execution.
- Ensure that all required insurance certificates and statutory worker's compensation are in place prior to commencing work. 
- Assist construction team on restaurant turnover during the completion of new construction build outs. 
- Create and maintain facilities systems for tracking all assets, preventative maintenance, work orders and construction projects. 
- Hire, direct, and motivate maintenance staff in planning and executing work procedures. . 
- Inspect all properties on a regular basis to ensure the work conforms to specifications, budget,and initiate any repair or replacement needs and/or adjustment of working procedures.  
 -Work closely with vendor partners on contractual commitments and ensure correct level of service is received.  
 -Maintain appropriate procedures for service calls.  


- You are confident in building and leading a strong team. 
-  You exemplify the highest standards of honesty and integrity. 
- You are willing to go above and beyond to please guests. 
- You are highly confident in your abilities and are detail-oriented. 
-  You are a team player and have excellent communication skills.  
-  You genuinely get joy out of making people happy and are able to have fun while working. 
-  You have a love and passion for the hospitality industry.   


- A positive, supportive, and inclusive work environment. 
-  Competitive salary and company incentives. 
-  Comprehensive benefits plans for full time employees, including medical, dental, vision and life insurance.  
-  Dining program. 
- Bring a friend to work bonus.  
- A great environment to work in surrounded by talented, hardworking, passionate, and fun people. 
- Tremendous Growth Opportunities.    "
Intermediate Architect,https://newyork.craigslist.org/mnh/egr/d/intermediate-architect/6863086867.html,Flatiron,Competitive Salary,full-time,"
        
GF55 Partners (www.GF55.com) seeks a talented and motivated full time Intermediate Architect for its NYC Flatiron Office. Enjoy a stimulating and challenging team work environment with a variety of significant projects.  The position requires strong design, analytical and communication skills to interact with colleagues, clients and consultants.  GF55 offers an environment where professional growth and development is encouraged.
GF55 seeks excellence by a collaborative search for the best solution in the creation of architecture 

Skills Required 
•	Revit, Cad, Sketchup, Photoshop, In Design and MS Office Suite
•	Strong Analytical skills, and good follow through 
•	Ability to collaborate and work independently 
•	Bachelor's Degree in Architecture or higher
•	Authorized to work in the US
•	1-3 years of relevant experience 

Compensation commensurate with qualifications. GF55 pays a competitive salary with benefits. 
Application to be addressed to Info@gf55.com  and to include. 
•	Cover Letter
•	Resume 
•	Work Samples 

    "
Construction Project Manager,https://newyork.craigslist.org/brk/egr/d/brooklyn-construction-project-manager/6863189628.html,Brooklyn,TBD,full-time,"
        

Prepare complete and detailed scopes of work for construction trades.
Perform quantity take-offs with accuracy and completeness.
Solicit budgets and bids from subcontractors and suppliers in a timely fashion
Resolves cost discrepancies by collecting and analyzing information.
Prepares special reports by collecting, analyzing, and summarizing information and trends.
Monitor project costs and schedule
Monitor site supers and attend meetings

At least 4 years industry experience minimum

Please email resume with expected salary

Also looking for Estimators and Assistant Project managers/site supers    "
Kitchen & Bath Designer,https://newyork.craigslist.org/wch/egr/d/white-plains-kitchen-bath-designer/6863277126.html,Westchester County,"Compensation is based on sales, including all construction costs",full-time,"
        
Home Improvement Company looking for Kitchen and Bath Designers with knowledge of structure.  Must be CAD proficient and able to produce full designs, renderings and working drawings.  We will train the right candidate to be able to move walls, windows, do extensions and/or additions to accommodate high end kitchens, which is half of our business. Must have own transportation, be able to meet with clients in their home, be personable and professional, a self starter and eager to earn high commissions and most of all, a great designer.
This is a full time position and requires working some nights and weekends. If you are interested in joining our team, please forward your resume and samples of your work.    "
Estimator/Project Manager,https://newyork.craigslist.org/mnh/egr/d/new-york-city-estimator-project-manager/6863553564.html,Midtown,"$60,000-$65,000 a year",full-time,"
        
NYC Construction Firm looking for a dynamic Jr Estimator with 3-5 years experience to grow with our team.
Responsibilities:
• Assist in bid process inclusive of preparation of detailed bid packages and assure accurate and proper submissions/proposals by all sub-contractors.
• Create drobox link, identify applicable trades, send drawings out and daily follow ups

Computer Skills & Qualifications:

• Proficient in MS Office,Excel and Word
• On Screen take off (PlanswiftEstimating Software a plus

 Qualifications:
• Some College In related construction/engineering/architecture 
. Most have minimum 2 years experience 
• Must be able to efficiently multi task
• Fine attention to detail
• Ability to work well under pressure of deadlines and meet

Please reply with resumes and cover letters directly to Amy    "
Architectural interior designer,https://newyork.craigslist.org/brk/egr/d/brooklyn-architectural-interior-designer/6863599400.html,Brooklyn,Negotiable based on experience,full-time,"
        
Interior Design company seeks a architect/designer with at least 3-4 years experience in architecture design. We specialize in bar and restaurant design. 

What were looking for in you:
- Passionate about all aspects of design, construction and project execution.
- A team collaborator, clear communicator, and effective motivator.
- Thorough understanding of all project phases of work including programming, space planning, color, and material selections, FF&E selections, schematic design, design development, and construction documentation.
- Strong time management skills and experience managing multiple projects simultaneously.
- Possess a strong knowledge of design process and construction within the field. 
- Highly resourceful problem solver and quick learner. 
- Fluency in written and spoken English. 
- Reliable focused and detail oriented.
- Willing to travel 
- Currently residing in NYC area, must be a US citizen or Green card holder
- Full clean drivers license is a plus


Job Responsibilities:

- Develop concept/mood boards showing materials and sketches into design presentations and project execution.
- Develop from pre-design through construction documentation.
- Research material selections, specifications for review.
- Produce shop drawings for construction. 
- Maintain logs and manage the workflow of projects for job duration.
- Onsite field measurements and site visits.
- Clear communication with both internal team members and consultants throughout project duration regarding design.
-3D Modelling a plus 
- 
Qualifications:

- Hold a degree in Architecture, Interior Design or related field.
- 3-4 years experience working in commercial hospitality design. NYC experience would be great 
- Proficiency in AutoCAD, Photoshop, Sketchup, 3dsMax.
- Strong conceptualization skills and knowledge of the design process of  FF&E and specifications.

If you think your a good fit, please provide:

- Resume 
- Portfolio of relevant recent works. 
- Salary expectations 
 

 

    "
Solar Products Testing & Development Engineer,https://newyork.craigslist.org/brk/egr/d/brooklyn-solar-products-testing/6863634305.html,Brooklyn Navy Yard,commensurate with experience,full-time,"
        
Voltaic Systems is a portable solar power company based in the New Lab in the Brooklyn Navy Yard. A drained phone in the middle of Spain led our founder to design the first solar backpack. We now develop a broad range of solar-powered solutions for explorers, aid organizations, and industrial customers. We're looking for an inquisitive, tech-savvy individual with strong communication skills to help with a range of technical responsibilities.

Please emails us a resume and link to portfolio if available.

1. Design, test, and manage production of new and existing components and products

2. Respond to and resolve incoming technical requests. These can range from simple charge compatibility, to troubleshooting products in the field to more complex questions from customers looking to build custom solutions with our panels. In every case, we need someone who can solve problems quickly and can be clear and friendly via email and the phone.

3. Depending on skills and interests, contribute to more advanced product development, create projects for our blog or otherwise contribute to the organization

Requirements
- Proficient in basic electric circuitry and testing equipment whether through an engineering background or self-taught
- Able to project manage - Must be a compulsive note-taker, intellectually curious and very organized
- Strong 3D modeling skills
- You should enjoy being hands on with electronics
- Must be able to communicate via email and phone in a clear and direct manner
    "
